Category,Project,Input - First question,Input - Follow-up 1 (optional),Input - Follow-up 2 (optional),Evaluator - checklist
Bug fixing,XS - ECS Racing,"System.IndexOutOfRangeException: Index 1 is out of range of '1' Length.
This Exception was thrown from a job compiled with Burst, which has limited exception support.
#3 Unity.Collections.NativeArray1[[Unity.Entities.Racing.Common.SortableProgress, Unity.Entities.Racing.Common, Version=0.0.0.0, Culture=neutral, PublicKeyToken=null]], UnityEngine.CoreModule, Version=0.0.0.0, Culture=neutral, PublicKeyToken=null.FailOutOfRangeError(Unity.Collections.NativeArray1[[Unity.Entities.Racing.Common.SortableProgress, Unity.Entities.Racing.Common, Version=0.0.0.0, Culture=neutral, PublicKeyToken=null]], UnityEngine.CoreModule, Version=0.0.0.0, Culture=neutral, PublicKeyToken=null this, System.Int32, mscorlib, Version=4.0.0.0, Culture=neutral, PublicKeyToken=b77a5c561934e089 index) -> System.Void, mscorlib, Version=4.0.0.0, Culture=neutral, PublicKeyToken=b77a5c561934e089_d86ac4950a96921a61637d67a9793aa7 from UnityEngine.CoreModule, Version=0.0.0.0, Culture=neutral, PublicKeyToken=null
#4 Unity.Jobs.IJobExtensions.JobStruct`1<Unity.Entities.Racing.Gameplay.SortProgressArrayJob>.Execute(ref Unity.Entities.Racing.Gameplay.SortProgressArrayJob data, System.IntPtr additionalPtr, System.IntPtr bufferRangePatchData, ref Unity.Jobs.LowLevel.Unsafe.JobRanges ranges, int jobIndex) -> void_d86ac4950a96921a61637d67a9793aa7 from UnityEngine.CoreModule, Version=0.0.0.0, Culture=neutral, PublicKeyToken=null
#5 34f9f82a5d8aaf7d1ee0c14beebfb2cb
#6 ExecuteJob(ManagedJobData, void ()(void, void*, void*, void*, int), int, unsigned char*)
#7 ForwardJobToManaged(ManagedJobData*)
#8 ujob_execute_job(ujob_control_t*, ujob_lane_t*, ujob_job_t*, ujob_handle_t, unsigned int)
#9 lane_guts(ujob_control_t*, ujob_lane_t*, int, int)
#10 worker_thread_routine(void*)
#11 Thread::RunThreadWrapper(void*)
#12 _pthread_start
#13 thread_start",,,The exception and stack trace are explained with the potential cause and a way to resolve it.
Bug fixing,XS - ECS Racing,"Provide options to fix NullReferenceException issue with the following stacktrace:

NullReferenceException: Object reference not set to an instance of an object
Unity.Entities.Racing.Gameplay.ServerConnectionUtils.StartClientServer (System.String port) (at Assets/Scripts/Gameplay/Connection/ServerConnectionUtils.cs:32)
Unity.Entities.Racing.Gameplay.CarSelectionUI.OnStartButtonClicked (UnityEngine.UIElements.ClickEvent evt) (at Assets/Scripts/Gameplay/UI/CarSelection/CarSelectionUI.cs:97)
UnityEngine.UIElements.EventCallbackFunctor`1[TEventType].Invoke (UnityEngine.UIElements.EventBase evt, UnityEngine.UIElements.PropagationPhase propagationPhase) (at /Users/bokken/build/output/unity/unity/ModuleOverrides/com.unity.ui/Core/Events/EventCallback.cs:79)
UnityEngine.UIElements.EventCallbackRegistry.InvokeCallbacks (UnityEngine.UIElements.EventBase evt, UnityEngine.UIElements.PropagationPhase propagationPhase) (at /Users/bokken/build/output/unity/unity/ModuleOverrides/com.unity.ui/Core/Events/EventCallbackRegistry.cs:353)
UnityEngine.UIElements.CallbackEventHandler.HandleEvent (UnityEngine.UIElements.EventBase evt) (at /Users/bokken/build/output/unity/unity/ModuleOverrides/com.unity.ui/Core/Events/EventHandler.cs:263)
UnityEngine.UIElements.CallbackEventHandler.HandleEventAtCurrentTargetAndPhase (UnityEngine.UIElements.EventBase evt) (at /Users/bokken/build/output/unity/unity/ModuleOverrides/com.unity.ui/Core/Events/EventHandler.cs:189)
UnityEngine.UIElements.CallbackEventHandler.UnityEngine.UIElements.IEventHandler.HandleEvent (UnityEngine.UIElements.EventBase evt) (at /Users/bokken/build/output/unity/unity/ModuleOverrides/com.unity.ui/Core/Events/EventHandler.cs:206)
UnityEngine.UIElements.EventDispatchUtilities.HandleEventAcrossPropagationPath (UnityEngine.UIElements.EventBase evt) (at /Users/bokken/build/output/unity/unity/ModuleOverrides/com.unity.ui/Core/Events/IEventDispatchingStrategy.cs:143)
UnityEngine.UIElements.EventDispatchUtilities.PropagateEvent (UnityEngine.UIElements.EventBase evt) (at /Users/bokken/build/output/unity/unity/ModuleOverrides/com.unity.ui/Core/Events/IEventDispatchingStrategy.cs:90)
UnityEngine.UIElements.PointerEventDispatchingStrategy.SendEventToTarget (UnityEngine.UIElements.EventBase evt, UnityEngine.UIElements.IPanel panel) (at /Users/bokken/build/output/unity/unity/ModuleOverrides/com.unity.ui/Core/Events/PointerEventDispatchingStrategy.cs:21)
UnityEngine.UIElements.PointerEventDispatchingStrategy.DispatchEvent (UnityEngine.UIElements.EventBase evt, UnityEngine.UIElements.IPanel panel) (at /Users/bokken/build/output/unity/unity/ModuleOverrides/com.unity.ui/Core/Events/PointerEventDispatchingStrategy.cs:13)
UnityEngine.UIElements.EventDispatcher.ApplyDispatchingStrategies (UnityEngine.UIElements.EventBase evt, UnityEngine.UIElements.IPanel panel, System.Boolean imguiEventIsInitiallyUsed) (at /Users/bokken/build/output/unity/unity/ModuleOverrides/com.unity.ui/Core/EventDispatcher.cs:422)
UnityEngine.UIElements.EventDispatcher.ProcessEvent (UnityEngine.UIElements.EventBase evt, UnityEngine.UIElements.IPanel panel) (at /Users/bokken/build/output/unity/unity/ModuleOverrides/com.unity.ui/Core/EventDispatcher.cs:363)
UnityEngine.UIElements.EventDispatcher.ProcessEventQueue () (at /Users/bokken/build/output/unity/unity/ModuleOverrides/com.unity.ui/Core/EventDispatcher.cs:321)
UnityEngine.UIElements.EventDispatcher.OpenGate () (at /Users/bokken/build/output/unity/unity/ModuleOverrides/com.unity.ui/Core/EventDispatcher.cs:285)
UnityEngine.UIElements.EventDispatcherGate.Dispose () (at /Users/bokken/build/output/unity/unity/ModuleOverrides/com.unity.ui/Core/EventDispatcher.cs:77)
UnityEngine.UIElements.EventDispatcher.ProcessEvent (UnityEngine.UIElements.EventBase evt, UnityEngine.UIElements.IPanel panel) (at /Users/bokken/build/output/unity/unity/ModuleOverrides/com.unity.ui/Core/EventDispatcher.cs:413)
UnityEngine.UIElements.EventDispatcher.Dispatch (UnityEngine.UIElements.EventBase evt, UnityEngine.UIElements.IPanel panel, UnityEngine.UIElements.DispatchMode dispatchMode) (at /Users/bokken/build/output/unity/unity/ModuleOverrides/com.unity.ui/Core/EventDispatcher.cs:229)
UnityEngine.UIElements.BaseVisualElementPanel.SendEvent (UnityEngine.UIElements.EventBase e, UnityEngine.UIElements.DispatchMode dispatchMode) (at /Users/bokken/build/output/unity/unity/ModuleOverrides/com.unity.ui/Core/Panel.cs:520)
UnityEngine.UIElements.PanelEventHandler.SendEvent (UnityEngine.UIElements.EventBase e, UnityEngine.EventSystems.BaseEventData sourceEventData) (at ./Library/PackageCache/com.unity.ugui@1.0.0/Runtime/EventSystem/UIElements/PanelEventHandler.cs:265)
UnityEngine.UIElements.PanelEventHandler.OnPointerUp (UnityEngine.EventSystems.PointerEventData eventData) (at ./Library/PackageCache/com.unity.ugui@1.0.0/Runtime/EventSystem/UIElements/PanelEventHandler.cs:135)
UnityEngine.EventSystems.ExecuteEvents.Execute (UnityEngine.EventSystems.IPointerUpHandler handler, UnityEngine.EventSystems.BaseEventData eventData) (at ./Library/PackageCache/com.unity.ugui@1.0.0/Runtime/EventSystem/ExecuteEvents.cs:50)
UnityEngine.EventSystems.ExecuteEvents.Execute[T] (UnityEngine.GameObject target, UnityEngine.EventSystems.BaseEventData eventData, UnityEngine.EventSystems.ExecuteEvents+EventFunction`1[T1] functor) (at ./Library/PackageCache/com.unity.ugui@1.0.0/Runtime/EventSystem/ExecuteEvents.cs:272)
UnityEngine.EventSystems.EventSystem:Update() (at ./Library/PackageCache/com.unity.ugui@1.0.0/Runtime/EventSystem/EventSystem.cs:530)",,,Provides correct reason and solution.
Bug fixing,XS - ECS Racing,"public int Compare(SortableProgress x, SortableProgress y)
{
    if(x.Progress.HasArrived && y.Progress.HasArrived)
        return x.Progress.ArrivalTime.CompareTo(y.Progress.ArrivalTime);

    if (x.Progress.HasArrived || y.Progress.HasArrived)
        return y.Progress.HasArrived.CompareTo(x.Progress.HasArrived);

    if (x.Progress.CurrentLap != y.Progress.CurrentLap)
        return y.Progress.CurrentLap.CompareTo(x.Progress.CurrentLap);

    if (x.Progress.CurrentCheckPoint == y.Progress.CurrentCheckPoint)
    {
        return x.Distance.CompareTo(y.Distance);
    }

    return y.Progress.CurrentCheckPoint.CompareTo(x.Progress.CurrentCheckPoint);
}

Here's description how this functionality of comparing progress of two cards meant to work:
- it should return -1 if x has higher progress than y
- it should return 1 if y has higher progress than x
- if identical it returns 0

Highest progress is when:
- car has arrived earlier then the other
- or current lap is higher than the other
- or current check point is higher than the other
- or current distance is higher than the other

Is there's any logical issues?",,,Should point to 2 existing issues in the logic.
Bug fixing,XS - ECS Racing,"Here's unfixed code

    /// <summary>
    /// Change the state for the race when countdown has finished
    /// </summary>
    [UpdateBefore(typeof(RaceIntroSystem))]
    [UpdateAfter(typeof(UpdateTimerSystem))]
    [WorldSystemFilter(WorldSystemFilterFlags.ServerSimulation)]
    public partial struct RaceCountdownSystem : ISystem
    {
        public void OnCreate(ref SystemState state)
        {
            state.RequireForUpdate<Race>();
        }

        [BurstCompile]
        public void OnUpdate(ref SystemState state)
        {
            var race = GetSingletonRW<Race>().ValueRW;

            if (!race.IsCountDown)
            {
                return;
            }

            if (race.TimerFinished)
            {
                race.SetRaceState(RaceState.InProgress);
                race.InitialTime = UnityEngine.Time.realtimeSinceStartup;

                // Change all the players state
                var changePlayerStateJob = new ChangePlayerStateJob
                {
                    CurrentState = PlayerState.Countdown,
                    TargetState = PlayerState.Race
                };
                state.Dependency = changePlayerStateJob.ScheduleParallel(state.Dependency);
            }

            SetSingleton(race);
        }
    }

and here's fixed one

    /// <summary>
    /// Change the state for the race when countdown has finished
    /// </summary>
    [UpdateBefore(typeof(RaceIntroSystem))]
    [UpdateAfter(typeof(UpdateTimerSystem))]
    [WorldSystemFilter(WorldSystemFilterFlags.ServerSimulation)]
    public partial struct RaceCountdownSystem : ISystem
    {
        public void OnCreate(ref SystemState state)
        {
            state.RequireForUpdate<Race>();
        }

        [BurstCompile]
        public void OnUpdate(ref SystemState state)
        {
            var race = GetSingletonRW<Race>().ValueRW;

            if (!race.IsCountDown)
            {
                return;
            }

            if (race.TimerFinished)
            {
                race.SetRaceState(RaceState.InProgress);
                race.InitialTime = state.WorldUnmanaged.Time.ElapsedTime;

                // Change all the players state
                var changePlayerStateJob = new ChangePlayerStateJob
                {
                    CurrentState = PlayerState.Countdown,
                    TargetState = PlayerState.Race
                };
                state.Dependency = changePlayerStateJob.ScheduleParallel(state.Dependency);
            }

            SetSingleton(race);
        }
    }

Explain the fix.",,,Explained the fix logically and refers to existing rules for ECS.
Navigation,S - Fighting game,"What is the overall project structure in Unity? Are there specific folders for scripts, assets, and scenes that I should be aware of?",,,
Navigation,S - Fighting game,How is the rollback netcode integrated with the Unity engine? Are there any specific components or scripts I should focus on when working with networking features?,,,
Navigation,S - Fighting game,What should I know about the lobby system for online matchmaking? How is player data managed during matchmaking?,,,
Navigation,S - Fighting game,How should I handle game state transitions within the state machine architecture? Are there predefined states I need to follow?,,,
Navigation,S - Fighting game,How is the replay system implemented? What should I know about recording and replaying matches?,,,
Navigation,S - Fighting game,How is AI behavior defined for the opponent characters? Are there specific scripts or tools used to manage AI logic?,,,"Answer is based on BrainController and CpuController classes. If not, the rest is irrelevant.
There should be a clear explanation of how the AI makes decisions, including how it handles movement, attacks, and special actions based on conditions like player proximity and random factors.
The response should address how the AI logic is deterministic, ensuring consistent behavior across different game instances, which is crucial for networked play.
The explanation should be clear, concise, and technical, suitable for someone familiar with Unity and game development concepts."
Navigation,S - Fighting game,"How are character inputs managed, especially in the context of rollback netcode, to ensure they are accurately captured and replayed?",,,
Navigation,S - Fighting game,"How are game events such as combos, special moves, and finishers handled within the state machine architecture?",,,
Navigation,S - Fighting game,"How are collisions detected and managed in the game, especially in networked environments?",,,
Navigation,S - Fighting game,"How is the save and load functionality implemented, particularly concerning player progress and settings?",,,"Answer is based on DemonicsSaver and/or PlayerPreferences classes. If not, the rest is irrelevant.
A high-level description of what DemonicsSaver and/or PlayerPreferences class does.
A real example of how these classes are used in the project for storing progress and settings. No assumptions."
Navigation,S - Fighting game,Where is main menu located in this project?,,,
Navigation,S - Fighting game,"How are audio assets, such as sound effects and music, integrated and synchronized with gameplay events?",,,
Navigation,S - Fighting game,Can you explain the process of creating and testing new levels or stages within the game?,,,
Navigation,S - Fighting game,How is the dialogue system managed within the game? Is there a particular approach to adding or modifying dialogues?,,,
Navigation,S - Fighting game,What is the process for implementing new characters or abilities? Are there modular systems in place to facilitate this?,,,"Answer is based on PlayerStatsSO and State classes. If not, the rest is irrelevant.
Explanation of how characters are represented (e.g., PlayerStatsSO ScriptableObject).
Steps to create and configure a new character.
Description of how abilities and moves are defined and linked to characters.
Mention of how the state machine integrates with these abilities."
Navigation,S - Fighting game,"How are animations handled within the project? Are they deterministic, and how are they synced across the network?",,,
Navigation,S - Fighting game,How is arena (stage) background animated? What tools are used and how to change the animation?,,,
Navigation,S - Fighting game,"I see this complex and poorly documented PlayerLogic method from GameSimulation, explain how it works?",,,"Answer is based on GameSimulation struct. If not, the rest is irrelevant.
Exactly PlayerLogic method is described. If not, the rest is irrelevant.
A high-level description of what the PlayerLogic method is intended to achieve within the context of GameSimulation struct.
A breakdown of the main components or sections of the method, explaining how each part contributes to the overall logic.
A mentioning of key aspects the method covers: inputs, states, physics, effects, animations."
Navigation,S - Fighting game,"I see this complex and poorly documented Movement method from CpuController, explain how it works?",,,"Answer is based on CpuController class. If not, the rest is irrelevant.
Exactly Movement method is described. If not, the rest is irrelevant.
A high-level description of what the Movement method is intended to achieve within the context of CpuController class.
A breakdown of the main components or sections of the method, explaining how each part contributes to the overall logic.
A mentioning of key aspect the method covers: randomness to enasure unpredictable experience for the human player."
Navigation,S - Fighting game,"I see this complex and poorly documented UpdateGameView method from GameSimulationView, explain how it works?",,,
Navigation,S - Fighting game,"I see this complex and poorly documented ResetPlayer method from Player, explain how it works?",,,
Navigation,S - Fighting game,"I see this complex and poorly documented IncreaseCombo method from PlayerUI, explain how it works?",,,
Navigation,S - Fighting game,"I see this complex and poorly documented InitializePlayers method from GameplayManager, explain how it works?",,,
Navigation,S - Fighting game,"I see this complex and poorly documented ZoomCoroutine method from CameraShake, explain how it works?",,,
Navigation,S - Fighting game,"I see this complex and poorly documented UpdateDisplay method from InputHistory, explain how it works?",,,
Navigation,S - Fighting game,"I see this complex and poorly documented InRecovery method from PlayerAnimator, explain how it works?",,,
Navigation,S - Fighting game,"I see this complex and poorly documented CreateLobby method from NetworkManagerLobby, explain how it works?",,,
Navigation,S - Fighting game,"I have to add a new dialogue interaction between characters during a match, how should it be handled in this project?",,,
Navigation,S - Fighting game,"I have to implement a new combat mechanic, such as a parry or counter system, how should it be handled in this project?",,,
Navigation,S - Fighting game,I want to extend the AI opponent's behavior. Where/how is it implemented here?,,,
Navigation,S - Fighting game,I want to enhance the replay system to include slow-motion playback. Where/how is it implemented here?,,,
Navigation,S - Fighting game,How do I create new character entity according to the architecture approach in this game?,,,
Navigation,S - Fighting game,How do I create new AI behavior according to the architecture approach in this game?,,,
Navigation,S - Fighting game,How to connect PlayerPreferences with CpuController to get configuration data and use it for AI behavior?,,,"Answer is based on PlayerPreferences and CpuController classes. If not, the rest is irrelevant.
Only PlayerPreferences and CpuController classes are used, no new scripts should be introduced.
Explanation of how PlayerPreferences will store AI configuration data.
Description of the data flow from PlayerPreferences to CpuController.
Steps to connect PlayerPreferences with CpuController, including where and how to access the configuration data.
Code snippets showing the integration process."
Navigation,S - Fighting game,How to connect ReplayManager with PlayerDialogue to implement dialog replaying in addition to the fight?,,,
Navigation,S - Fighting game,How can I get access to GameplayManager from ReplayManager?,,,
Navigation,S - Fighting game,How can I get access to NetworkManagerLobby from GameplayManager?,,,
Navigation,S - Fighting game,"I have two entities GGPORunner and SimulationManager that need to be moved into different assemblies, how could I keep their connection without cross-reference conflicts and affecting other entities?",,,
Refactoring,S - Fighting game,How can we modularize game systems? Write a step by step refactoring plan.,,,
Refactoring,S - Fighting game,How can we improve state machine architecture to simplify and enhance the state machine logic used for game states and combat mechanics? Write a step by step refactoring plan.,,,
Refactoring,S - Fighting game,How can we improve AI performance and make the AI system more maintainable? Write a step by step refactoring plan.,,,
Refactoring,S - Fighting game,How can we improve the replay system to streamline data capture and playback? Write a step by step refactoring plan.,,,
Refactoring,S - Fighting game,How can we improve the lobby code to better handle larger numbers of players and complex matchmaking rules? Write a step by step refactoring plan.,,,
Refactoring,S - Fighting game,I need to refactor Update method in ReplayManager class. How can I do it in the right way?,,,
Refactoring,S - Fighting game,I need to refactor CpuController class. How can I do it in the right way?,,,
Refactoring,S - Fighting game,"When profiling game we encountered on a high GC.Alloc issue that is located at this method. How can we resolve it?

public void UpdateDisplay(InputList inputList, InputBufferNetwork inputBuffer)
{
Inputs = new List<InputItemNetwork>();
Inputs.AddRange(inputBuffer.triggers);
Inputs.AddRange(inputBuffer.sequences);
List<int> triggers = new();
for (int i = 0; i < inputList.inputTriggers.Length; i++)
if (inputList.inputTriggers[i].held && !inputList.inputTriggers[i].sequence)
if (!triggers.Contains(i))
triggers.Add(i);

int sequence = 0;
for (int i = 0; i < inputList.inputTriggers.Length; i++)
if (inputList.inputTriggers[i].held && inputList.inputTriggers[i].sequence)
sequence = (int)inputList.inputTriggers[i].inputEnum;

if (triggers.Count != previousTriggers.Count || sequence != previousSequence)
{
_inputHistoryContainer.GetChild(_inputHistoryContainer.childCount - 1).transform.SetAsFirstSibling();
_inputHistoryImage = _inputHistoryContainer.GetChild(0).GetComponent<InputHistoryImage>();
_inputHistoryImage.UpdateDisplay(sequence, triggers.ToArray());
}
if (_inputHistoryImage != null)
_inputHistoryImage.UpdateFramesDisplay();
previousSequence = sequence;
previousTriggers = triggers;
}",,,
Refactoring,S - Fighting game,When profiling game we encountered on a high GC.Alloc issue and execution time in SetCorrectPromptSprite method from PromptsImageChanger class. How can we resolve it?,,,
Navigation,S - Fighting game,I have Replays.asset I need to add dialogs data. How can I do it?,,,
Navigation,S - Fighting game,I have Fighter1.asset I need to add more paramters to this configuration. How can I do it?,,,
Navigation,S - Fighting game,"How are game events such as combos, special moves, and finishers handled within the state machine architecture?","How are game events such as combos, special moves, and finishers handled within the state machine architecture?
Are there special calculations or conditions for combos?
Is there a base class for all states? If so, what does it do?
Could you explain how combo functionality is implemented in more details including the parts that are shared in state class?
Looking through code I see PlayerComboSystem class that you did not mention before. What's the exact purpose of it?
Where is this class used specifically?
After investigating codebase I see that it is actually used in State class. Could you provide more details of usages?
Could you list all types of special moves and finisher within the state machine architecture?
Could you please summarize all above and give a full answer to the initial question? Write initial question then the answer to it.
Could you please summarize all above and give a full answer to the initial question? Write initial question then the answer to it.",,
Coding,M - nftnftwars-client,I wanna add new GameObject serialize field for VFX prefab in my script HeroVisualConfigSo. What do I need to do?,,,
Coding,M -  nftwars-NexusWarlords-Client,"Для реализации логики прогрессии команд надо добавить уровень команды в скрипт TeamData, а также при создании битвы валидировать, что TeamData level поле на старте будет всегда иметь значение 1.",,,
Coding,S - Fighting game,When selecting character I need to be able to go back from selecting color to selecting assist so I could select assist once again. How do I do it?,,,
Coding,S - Fighting game,When selecting character I need to be able to go back from selecting assist to selecting character so I could select another character. How do I do it?,,,
Coding,S - Fighting game,What do I need to do to add Backspace button controls to current input system? So I could use it in main menu screens to perform custom actions.,,,
Coding,S - Fighting game,I want to add stage selection UI as in change stage menu to pause menu. How do I do it?,,,
Coding,S - Fighting game,I need to add a new stage with animations. How do I do it?,,,
Navigation,S - Fighting game,Explain the architecture design in this project. Which software design patterns are implemented explicitly and wich are implicit?,,,
Refactoring,S - Fighting game,I see this project implements the MVP pattern for the user interface. Explain the user interface structure - main prefabs and related presenters logic.,,,Copilot gave a better answer.
Refactoring,S - Fighting game,"What are the critical components of the rollback system in this project, and how do they interact with the game’s core systems like input handling, physics, and state synchronization?",,,
Refactoring,S - Fighting game,"The application framework is the part of the project wich controls the main application flow - initialization, updates, scene changes, and quitting the app. Explain the application framework in this project.",,,
Navigation,S - Fighting game,Are there any signs of Photon integration in this project?,,,
Navigation,M3 - MatchThreeGame,Explain the matching algorithm in this game and how it relates to pre-matching,,,
Refactoring,M3 - MatchThreeGame,I see the figures in the matches and potential matches searching code are hardcoded. Propose minimal code refactoring to allow me to define figures as arrays of relative positions.,,,
Refactoring,M3 - MatchThreeGame,Explain the matching algorithm used here.,,,
Project architecture understanding,S - Fighting game,I want to integrate a Tutorial in this game. Analyze the gameplay and player loop and provide me with a comprehensive list of thing player would like to learn to play the game and win.,,,
Project architecture understanding,S - Fighting game,"# Description:

I have to implement the Feature in this game.

## Interactive Gothic Storybook Tutorial

The tutorial MUST be seamlessly integrated into gameplay using **subtle visual cues and cryptic ambient storytelling**. Players **learn by doing**, guided by **non-intrusive prompts** such as glowing glyphs, faint whispers, and ghostly afterimages. These elements MUST NOT disrupt gameplay flow. Mechanics should be **discovered organically**, allowing both newcomers and experienced players to engage at their own pace.

**Narrative-Driven Lessons**: Fundamental tutorials should be delivered through an **ominous, animated storybook**, blending lore with essential game mechanics. Each snippet SHOULD reveal both a lesson and a piece of the game's narrative.

**Variable Outcomes**: The tutorial MUST NOT follow a fixed path or scenario. First-time players MUST feel a sense of **agency**, discovering mechanics in a personal, emergent way.

## Requirements

- **Integration**: The tutorial system implementation **MUST** be fully separated from the existing dialogue system as well as from any other game systems to facilitate seamless integration and removal.
- **Scalability for Updates**: Utilize Unity's `ScriptableObjects` to store tutorial clue data, enabling rapid additions or modifications without modifying core logic.
- **Non-Intrusive Visual Cues**: Implement subtle visual indicators (e.g., glowing glyphs, ghostly afterimages) using Unity’s URP shaders and particle systems to ensure a non-intrusive tutorial experience.
- **Dynamic Tutorial Paths**: Tutorial cues **MUST** be triggered dynamically based on player actions, proximity to interactive elements, or element appearance. This ensures that players discover mechanics organically without a predefined sequence, preserving gameplay fluidity.
- **Narrative Integration**: Implement a `StorybookManager` class to manage narrative-driven tutorial lessons. The storybook, containing all tutorial clues (one per page), **MUST** be accessible via the menu. Pages **MUST** be ordered according to the sequence in which the player encountered the clues during gameplay.
- **Integration with Existing Systems**: The tutorial system **MUST NOT** interrupt gameplay under any circumstances. Tutorial clues **MUST** only be displayed to the player who triggered them.
- **Accessibility**: Each tutorial clue **MUST** be displayed once and then made permanently accessible in the storybook.
- **Localization**: The tutorial is available **ONLY** in English.
- **AI Opponent Integration**: The tutorial is designed **EXCLUSIVELY** for teaching human players. Tutorial events **MUST NOT** be triggered for AI opponents unless the player must learn about AI-specific behaviors or interactions.
- **Hitstop**: Tutorial events **MUST NOT** trigger hitstop to prevent interference with other players' gameplay. However, tutorials **MAY** be triggered during hitstop for improved readability.
- **Rollback Netcode Compatibility**: The tutorial system is **EXCLUDED** from networking and **WILL NEVER** be subject to rollback netcode. It **MUST** be triggered **ONLY** for the local player and **MUST NOT** interfere in any way with remote players.
- **Replay System Integration**: Tutorial events **MUST NOT** be recorded or included in replays under any circumstances.
- **Save/Load System**: The order the clue was displayed to the player **MUST** be saved and loaded from the Unity PlayerPrefs.

# Action

Analyze the repository and propose an architecture design for the Interactive Gothic Storybook Tutorial feature based on the provided requirements. Double-check the proposal to ensure it implements all requirements without relying on the game code.

# Output Formatting

<Brief description of idea behind the proposal>

- <Class #1 Name> : [Base Class] - <Responsibility>
   - <Member #1 Name> : Type - <Responsibility>
   - <Member #2 Name> : Type - <Responsibility>
   - ...
   - <Member #N Name> : Type - <Responsibility>

- <Class #2 Name> : [Base Class] - <Responsibility>
   - <Member #1 Name> : Type - <Responsibility>
   - <Member #2 Name> : Type - <Responsibility>
   - ...
   - <Member #N Name> : Type - <Responsibility>

- ...

- <Class #N Name> : [Base Class] - <Responsibility>
   - <Member #1 Name> : Type - <Responsibility>
   - <Member #2 Name> : Type - <Responsibility>
   - ...
   - <Member #N Name> : Type - <Responsibility>
",,,
